"","","","Category","Total Unique Visitors (000)","% Reach","% Composition Unique Visitors","Composition Index UV","Composition Index PV","Average Daily Visitors (000)","Total Minutes (MM)","Total Pages Viewed (MM)","Total Visits (000)","Average Minutes per Visit","Average Visits per Visitor"
"","[M]","        EDHEADS.ORG","Lifestyles","128.551","0.057","100","100","100","4.962","0.655","0.47","155.712","4.206","1.211"
"","[M]","        FAMILIES.COM","Family & Youth - Family & Parenting, Family & Youth","83.985","0.037","100","100","100","3.161","0.108","0.141","95.575","1.13","1.138"
"","[M]","        WORKITMOM.COM","Family & Youth, Family & Youth - Family & Parenting","26.65","0.012","100","100","","","","","","",""
"74","[P](U)","    Dictionary.com Network","Directories/Resources - Reference, Directories/Resources","20179.798","8.99","100","100","100","1255.723","190","180.322","44877.798","4.234","2.224"
"","[M](U)","        DICTIONARY.COM","Directories/Resources - Reference, Directories/Resources","13581.182","6.05","100","100","100","845.682","99.036","101.78","29350.448","3.374","2.161"
"","[C]","            Dictionary Quotes Site","Directories/Resources - Reference, Directories/Resources","208.243","0.093","100","100","100","7.787","0.265","0.323","238.811","1.109","1.147"
"","[M](u)","        THESAURUS.COM","Directories/Resources, Directories/Resources - Reference","8254.722","3.677","100","100","100","463.75","79.671","65.454","17168.271","4.641","2.08"
"","[M](u)","        REFERENCE.COM*","Directories/Resources, Directories/Resources - Reference","4601.187","2.05","100","100","100","224.788","9.291","13.088","7010.249","1.325","1.524"
"75","[P](u)","    Cox Enterprises Inc.","Telecommunications","20030.722","8.923","100","100","100","1676.725","418.512","580.587","73490.615","5.695","3.669"
"","[M](U)","        Cox Media Group","Corporate Presence","8712.641","3.881","100","100","100","1250.582","140.946","139.293","50183.849","2.809","5.76"
"","[C](U)","            Cox Media Group - Newspaper","News/Information - Newspapers, News/Information","3377.472","1.505","100","100","100","545.75","74.555","67.071","22730.677","3.28","6.73"
"","[S](U)","                The Atlanta Journal-Constitution Sites","News/Information, News/Information - Newspapers","2688.89","1.198","100","100","100","478.776","67.366","57.212","20815.071","3.236","7.741"
"","[G](U)","                    AJC.COM","News/Information - Newspapers, News/Information","2402.271","1.07","100","100","100","429.394","53.938","45.742","18932.697","2.849","7.881"
"","[G](U)","                    ACCESSATLANTA.COM","Regional/Local","493.953","0.22","100","100","100","154.532","6.928","8.511","5549.143","1.248","11.234"
"","[G](u)","                    MYAJC.COM","News/Information, News/Information - Newspapers","145.746","0.065","100","100","100","17.956","2.679","1.594","601.203","4.455","4.125"
"","[S](U)","                Austin American-Statesman Sites","News/Information - Newspapers, News/Information","707.071","0.315","100","100","100","73.713","7.189","9.857","2478.533","2.901","3.505"
"","[G](U)","                    STATESMAN.COM","News/Information - Newspapers, News/Information","560.386","0.25","100","100","100","72.239","6.256","7.257","2428.962","2.576","4.334"
"","[G](U)","                    AUSTIN360.COM","News/Information - Newspapers, News/Information","160.955","0.072","100","100","100","20.098","0.766","1.474","605.191","1.266","3.76"
"","[C](U)","            Cox Media Group - Radio","Entertainment - Radio, Entertainment","1377.97","0.614","100","100","100","91.667","7.988","8.268","3035.848","2.631","2.203"
"","[S](U)","                CLARKHOWARD.COM","Entertainment - Radio, Entertainment","436.3","0.194","100","100","100","33.98","1.904","2.016","1087.925","1.75","2.494"
"","[S]","                WSBRADIO.COM","Entertainment - Radio, Entertainment","135.746","0.06","100","100","","","","","","",""
"","[S]","                KRMG.COM","Entertainment, Entertainment - Radio","38.73","0.017","100","100","","","","","","",""
"","[C](U)","            WSBTV.COM","Entertainment - TV, Entertainment","884.71","0.394","100","100","100","124.743","13.916","9.649","4683.343","2.971","5.294"
"","[C](U)","            Cox Ohio Publishing","News/Information, News/Information - Newspapers","688.103","0.307","100","100","100","90.39","8.108","14.047","5948.64","1.363","8.645"
"","[S](U)","                Dayton Daily News Sites","News/Information, News/Information - Newspapers","472.057","0.21","100","100","100","52.58","3.488","7.586","3750.15","0.93","7.944"
"","[G](U)","                    DAYTONDAILYNEWS.COM","News/Information - Newspapers, News/Information","400.565","0.178","100","100","100","51.528","3.308","6.108","3675.146","0.9","9.175"
"","[G]","                    ACTIVEDAYTON.COM","Regional/Local","24.055","0.011","100","100","","","","","","",""
"","[S](U)","                Journal-News","News/Information, News/Information - Newspapers","102.954","0.046","100","100","100","13.046","2.761","3.172","430.061","6.42","4.177"
"","[G](U)","                    JOURNAL-NEWS.COM","News/Information - Newspapers, News/Information","102.759","0.046","100","100","100","12.785","2.761","2.738","421.46","6.551","4.101"
"","[S]","                Springfield News Sun Sites","News/Information - Newspapers, News/Information","72.853","0.032","100","100","100","3.239","0.254","0.311","101.675","2.494","1.396"
"","[G]","                    SPRINGFIELDNEWSSUN.COM","News/Information - Newspapers, News/Information","47.559","0.021","100","100","","","","","","",""
"","[S]","                The Middletown Journal Sites","News/Information - Newspapers, News/Information","2.945","0.001","100","100","","","","","","",""
"","[G]","                    MIDDLETOWNJOURNAL.COM","News/Information, News/Information - Newspapers","1.878","0.001","100","100","","","","","","",""
"","[C](U)","            Palm Beach Post Sites","News/Information - Newspapers, News/Information","664.29","0.296","100","100","100","166.574","8.49","12.089","5964.904","1.423","8.979"
"","[S](U)","                PALMBEACHPOST.COM","News/Information, News/Information - Newspapers","580.261","0.258","100","100","100","153.453","7.431","10.738","5432.603","1.368","9.362"
"","[S]","                PBPULSE.COM","Regional/Local","29.345","0.013","100","100","","","","","","",""
"","[S]","                PALMBEACHDAILYNEWS.COM","News/Information","9.91","0.004","100","100","","","","","","",""
"","[S]","                PBGAMETIME.COM","Sports","7.992","0.004","100","100","","","","","","",""
"","[C](U)","            WPXI.COM","News/Information","598.755","0.267","100","100","100","78.277","5.564","6.944","2970.304","1.873","4.961"
"","[C](U)","            KTVU.COM","News/Information","548.106","0.244","100","100","100","58.383","3.394","3.876","1864.631","1.82","3.402"
"","[C](U)","            KIROTV.COM","News/Information","532.225","0.237","100","100","100","84.722","4.78","5.514","3523.348","1.357","6.62"
"","[C](U)","            WFTV.COM","News/Information","520.8","0.232","100","100","100","81.786","6.087","4.784","2522.938","2.413","4.844"
"","[C](U)","            WSOCTV.COM","News/Information","378.047","0.168","100","100","100","65.838","4.865","4.305","2141.036","2.272","5.663"
"","[C](U)","            ACTIONNEWSJAX.COM","Entertainment, Entertainment - TV","170.689","0.076","100","100","100","11.761","1.222","1.142","393.7","3.104","2.307"
"","[C](U)","            FOX23.COM","Entertainment, Entertainment - TV","90.234","0.04","100","100","100","7.989","0.532","0.569","264.824","2.01","2.935"
"","[C]","            WHIO.COM","News/Information","40.357","0.018","100","100","","","","","","",""
"","[M](U)","        AutoTrader","Automotive - Resources, Automotive","6891.018","3.07","100","100","100","464.076","153.267","197.454","16518.268","9.279","2.397"
"","[C](U)","            AUTOTRADER.COM*","Automotive - Resources, Automotive","6613.847","2.946","100","100","100","442.962","147.65","189.584","15743.842","9.378","2.38"
"","[C](U)","            AUTOTRADERCLASSICS.COM","Automotive","516.039","0.23","100","100","100","32.15","5.525","7.869","1083.006","5.102","2.099"
"","[M]","        Cox (CCI)","ISP","4937.604","2.2","100","100","100","561.549","126.946","234.947","27694.331","4.584","5.609"
"","[C]","            Cox.com Sites","Telecommunications","4937.086","2.199","100","100","100","561.53","126.946","234.946","27693.766","4.584","5.609"
"","[S]","                COX.NET","ISP","4057.436","1.807","100","100","100","444.508","106.733","194.059","20987.617","5.086","5.173"
"","[S]","                COX.COM","Telecommunications","2303.012","1.026","100","100","100","255.317","19.222","38.44","11791.471","1.63","5.12"
"","[G]","                    Cox.com Arizona","Regional/Local","341.406","0.152","100","100","100","27.988","2.161","3.76","1457.845","1.482","4.27"
"","[G]","                    Cox.com Rhode Island","Regional/Local","176.953","0.079","100","100","100","19.499","0.549","1.541","610.397","0.9","3.449"
"","[G]","                    Cox.com Las Vegas","Regional/Local","175.445","0.078","100","100","100","15.092","0.791","1.667","741.162","1.067","4.224"
"","[G]","                    Cox.com Orange County","Regional/Local","129.974","0.058","100","100","100","16.362","1.061","1.897","684.517","1.549","5.267"
"","[G]","                    Cox.com Hampton Roads","Regional/Local","120.489","0.054","100","100","100","10.026","0.845","1.559","518.21","1.63","4.301"
"","[G]","                    Cox.com San Diego","Regional/Local","91.953","0.041","100","100","100","8.999","0.645","1.09","371.169","1.739","4.037"
"","[G]","                    Cox.com Central Florida","Regional/Local","87.381","0.039","100","100","100","3.279","0.151","0.389","100.408","1.503","1.149"
"","[G]","                    Cox.com New Orleans","Regional/Local","68.967","0.031","100","100","","","","","","",""
"","[G]","                    Cox.com Connecticut","Regional/Local","57.84","0.026","100","100","","","","","","",""
"","[G]","                    Cox.com Omaha","Regional/Local","53.888","0.024","100","100","","","","","","",""
"","[G]","                    Cox.com Kansas","Regional/Local","50.992","0.023","100","100","100","4.077","0.266","0.664","157.338","1.69","3.086"
"","[G]","                    Cox.com Greater Louisiana","Regional/Local","45.19","0.02","100","100","100","2.703","0.131","0.307","106.139","1.233","2.349"
"","[G]","                    Cox.com Oklahoma City","Regional/Local","40.87","0.018","100","100","","","","","","",""
"","[G]","                    Cox.com Middle Georgia","Regional/Local","40.384","0.018","100","100","","","","","","",""
"","[G]","                    Cox.com Tulsa","Regional/Local","39.876","0.018","100","100","","","","","","",""
"","[G]","                    Cox.com Arkansas","Regional/Local","34.455","0.015","100","100","","","","","","",""
"","[G]","                    Cox.com Gulf Coast","Regional/Local","31.789","0.014","100","100","","","","","","",""
"","[G]","                    Cox.com Northern Virginia","Regional/Local","22.796","0.01","100","100","","","","","","",""
"","[G]","                    Cox.com Cleveland","Regional/Local","9.6","0.004","100","100","","","","","","",""
"","[G]","                    Cox.com Roanoke","Regional/Local","6.758","0.003","100","100","","","","","","",""
"","[S]","                COXBUSINESS.COM","Corporate Presence","52.771","0.024","100","100","","","","","","",""
"","[S]","                COXMAIL.COM","Services - e-mail, Services","3.21","0.001","100","100","","","","","","",""
"","[M](U)","        VALPAK.COM","Services - Coupons, Services","527.49","0.235","100","100","100","29.022","1.198","3.77","961.983","1.245","1.824"
"","[M]","        COXENTERPRISES.COM","Corporate Presence","98.706","0.044","100","100","","","","","","",""
"","[M]","        COXNEWSWEB.COM","Services","88.306","0.039","100","100","100","3.675","0.121","0.283","111.792","1.084","1.266"
"","[M](u)","        DEALSONWHEELS.COM","Automotive, Automotive - Resources","63.956","0.028","100","100","100","2.597","0.305","0.761","78.719","3.873","1.231"
"76","[P](U)","    Wikia Sites","Corporate Presence","20028.719","8.922","100","100","100","1791.607","292.525","382.9","74828.798","3.909","3.736"
"","[M](U)","        Wikia Entertainment","Entertainment","11866.533","5.286","100","100","100","682.407","89.278","131.793","25795.483","3.461","2.174"
"","[C](U)","            MEMORY-ALPHA.ORG","Directories/Resources","329.866","0.147","100","100","100","14.307","3.017","4.446","525.474","5.741","1.593"
"","[M](U)","        Wikia Gaming","Games - Gaming Information, Games","10574.975","4.711","100","100","100","1102.743","185.705","227.242","46124.45","4.026","4.362"
"","[C](U)","            WOWWIKI.COM","Games - Gaming Information, Games","726.756","0.324","100","100","100","68.515","4.633","6.606","2498.842","1.854","3.438"
"","[C]","            FFXICLOPEDIA.ORG","Games, Games - Gaming Information","23.497","0.01","100","100","","","","","","",""
"","[M](U)","        Wikia Lifestyle","Lifestyles","2584.288","1.151","100","100","100","128.749","9.401","14.033","4548.787","2.067","1.76"
"","[M]","        WIKIA.COM*","Lifestyles","1362.896","0.607","100","100","100","73.008","6.628","9.019","2729.25","2.428","2.003"
"77","[P](U)","    SheKnows","Lifestyles","19846.797","8.841","100","100","100","1393.682","182.391","244.875","50647.115","3.601","2.552"
"","[M](U)","        SheKnows Family","Family & Youth - Family & Parenting, Family & Youth","6883.722","3.067","100","100","100","321.987","62.613","58.352","10742.088","5.829","1.561"
"","[C](U)","            SHEKNOWS.COM*","Lifestyles","4535.765","2.021","100","100","100","178.755","45.118","36.535","5977.131","7.549","1.318"
"","[C](U)","            BEHINDTHENAME.COM","Family & Youth - Family & Parenting, Family & Youth","990.571","0.441","100","100","100","55.732","3.993","6.315","1746.618","2.286","1.763"
"","[C](u)","            SOUTHERNSAVERS.COM","Social Media - Blogs, Social Media","372.826","0.166","100","100","100","37.645","8.504","8.563","1493.029","5.696","4.005"
"","[C](U)","            ALLTHETESTS.COM","Entertainment","212.008","0.094","100","100","100","11.026","0.414","1.724","366.829","1.129","1.73"
"","[C](U)","            DOLLARSTORECRAFTS.COM","Lifestyles","151.871","0.068","100","100","100","7.155","0.401","0.39","227.95","1.759","1.501"
"","[C]","            THE36THAVENUE.COM","Social Media, Social Media - Blogs","121.291","0.054","100","100","100","4.865","0.318","0.394","149.218","2.13","1.23"
"","[C](u)","            SUPERCOLORING.COM","Services - Photos, Services","108.06","0.048","100","100","100","4.539","0.19","0.464","143.311","1.323","1.326"
"","[C]","            LILBLUEBOO.COM","Lifestyles","102.094","0.045","100","100","","","","","","",""
"","[C](U)","            BABYNAMEGENIE.COM","Family & Youth - Family & Parenting, Family & Youth","92.313","0.041","100","100","100","5.896","0.67","1.684","179.107","3.74","1.94"
"","[C](U)","            ALLPARENTING.COM","Family & Youth, Family & Youth - Family & Parenting","87.71","0.039","100","100","100","6.963","0.239","0.319","211.201","1.132","2.408"
"","[C](U)","            DRAWINGHOWTODRAW.COM","Lifestyles","68.178","0.03","100","100","100","3.943","0.15","0.21","121.04","1.237","1.775"
"","[C]","            CREATINGREALLYAWESOMEFREETHINGS.COM","Social Media, Social Media - Blogs","42.472","0.019","100","100","100","1.63","0.059","0.053","49.323","1.205","1.161"
"","[C]","            BABYNAMESCOUNTRY.COM","Family & Youth - Family & Parenting, Family & Youth","24.871","0.011","100","100","","","","","","",""
"","[C]","            PREGNANCYANDBABY.COM","Family & Youth, Family & Youth - Family & Parenting","16.509","0.007","100","100","","","","","","",""
"","[M](u)","        SheKnows Food","Lifestyles - Food, Lifestyles","4340.792","1.934","100","100","100","225.39","18.909","23.238","9207.82","2.054","2.121"
"","[C](U)","            JUSTAPINCH.COM","Lifestyles - Food, Lifestyles","1621.547","0.722","100","100","100","57.157","6.102","7.862","1853.206","3.293","1.143"
"","[C](U)","            GROUPRECIPES.COM","Lifestyles - Food, Lifestyles","792.071","0.353","100","100","100","27.518","1.61","1.672","869.895","1.851","1.098"
"","[C](U)","            DRINKSMIXER.COM","Lifestyles, Lifestyles - Food","568.653","0.253","100","100","100","24.737","1.76","2.474","752.203","2.34","1.323"
"","[C]","            COUPONMOM.COM","Services, Services - Coupons","503.132","0.224","100","100","100","31.371","4.483","5.802","1161.961","3.858","2.309"
"","[C](U)","            TOPSECRETRECIPES.COM","Lifestyles - Food, Lifestyles","309.373","0.138","100","100","100","13.433","0.562","0.878","411.896","1.363","1.331"
"","[C](U)","            LILLUNA.COM","Lifestyles","290.132","0.129","100","100","100","17.231","0.911","0.704","558.672","1.63","1.926"
"","[C](U)","            CHOCOLATECOVEREDKATIE.COM","Lifestyles, Lifestyles - Food","264.023","0.118","100","100","100","21.652","1.418","1.389","676.346","2.096","2.562"
"","[C](u)","            GROCERYCOUPONNETWORK.COM","Services, Services - Coupons","215.541","0.096","100","100","100","19.809","1.49","1.649","682.048","2.185","3.164"
"","[C](U)","            COMMONSENSEWITHMONEY.COM","Lifestyles","100.974","0.045","100","100","100","17.078","0.311","0.293","1379.035","0.225","13.657"
"","[C](u)","            FAMILYOVEN.COM","Lifestyles, Lifestyles - Food","98.582","0.044","100","100","100","3.599","0.18","0.265","107.958","1.668","1.095"
"","[C]","            FABULOUSFOODS.COM","Lifestyles, Lifestyles - Food","34.523","0.015","100","100","","","","","","",""
"","[M](U)","        SheKnows Beauty","Lifestyles - Beauty/Fashion/Style, Lifestyles","3820.696","1.702","100","100","100","214.225","12.158","16.091","6667.823","1.823","1.745"
"","[C]","            ALLWOMENSTALK.COM","Lifestyles","1098.668","0.489","100","100","100","47.55","1.971","2.419","1462.662","1.348","1.331"
"","[C](U)","            SheKnows.com Beauty","Lifestyles, Lifestyles - Beauty/Fashion/Style","1088.878","0.485","100","100","100","38.728","1.577","2.678","1191.304","1.323","1.094"
"","[C](U)","            THEBERRY.COM","Entertainment","743.354","0.331","100","100","100","69.208","5.835","5.517","2192.047","2.662","2.949"
"","[C](U)","            DIETSINREVIEW.COM","Health - Information, Health","485.8","0.216","100","100","100","17.532","0.19","1.318","570.131","0.333","1.174"
"","[C](U)","            THEDATINGDIVAS.COM","Lifestyles - Personals, Lifestyles","187.93","0.084","100","100","100","5.878","0.677","1.247","260.137","2.603","1.384"
"","[C]","            LOVINGYOU.COM","Lifestyles, Lifestyles - Personals","32.628","0.015","100","100","100","1.24","0.056","0.123","40.551","1.372","1.243"
"","[C]","            HEALTHBUBBLE.COM","Health, Health - Information","31.855","0.014","100","100","","","","","","",""
"","[C]","            POEMSLOVERS.COM","Lifestyles","30.532","0.014","100","100","100","1.463","0.498","0.309","45.856","10.861","1.502"
"","[C]","            CELEBRITYBRIDEGUIDE.COM","Entertainment","1.487","0.001","100","100","","","","","","",""
"","[C]","            ENDLESSBEAUTY.COM","Lifestyles - Beauty/Fashion/Style, Lifestyles","0.389","0","100","100","","","","","","",""
"","[M](U)","        MYFITNESSPAL.COM","Health","3345.237","1.49","100","100","100","291.031","60.255","122.738","11825.112","5.096","3.535"
"","[M](U)","        SheKnows Entertainment","Entertainment","2876.911","1.282","100","100","100","163.889","8.185","8.796","5236.501","1.563","1.82"
"","[C](U)","            THEHOLLYWOODGOSSIP.COM","Entertainment","1423.999","0.634","100","100","100","77.299","4.15","3.709","2345.081","1.77","1.647"
"","[C](U)","            ACESHOWBIZ.COM","Entertainment - News, Entertainment","758.677","0.338","100","100","100","31.088","1.515","1.632","941.983","1.608","1.242"
"","[C](U)","            TVFANATIC.COM","Entertainment, Entertainment - TV","671.177","0.299","100","100","100","44.302","1.605","2.516","1371.656","1.17","2.044"
"","[C](U)","            MOVIEFANATIC.COM","Entertainment","91.754","0.041","100","100","100","4.584","0.177","0.223","138.658","1.274","1.511"
"","[C](U)","            HAVEUHEARD.NET","Entertainment, Entertainment - News","86.82","0.039","100","100","100","4.423","0.158","0.213","134.781","1.17","1.552"
"","[C]","            SOAPOPERAFAN.COM","Entertainment","63.43","0.028","100","100","","","","","","",""
"","[M]","        FUNTRIVIA.COM","Games","1194.937","0.532","100","100","100","57.131","4.9","6.173","1811.01","2.706","1.516"
"","[M](U)","        TAROT.COM*","Lifestyles","307.335","0.137","100","100","100","63.016","5.709","4.812","1957.595","2.916","6.37"
"","[M](U)","        DAILYHOROSCOPE.COM","Entertainment","89.661","0.04","100","100","100","7.225","0.595","1.044","239.674","2.485","2.673"
"","[M](U)","        COUNTDOWNTOPREGNANCY.COM","Family & Youth - Family & Parenting, Family & Youth","83.114","0.037","100","100","100","5.665","0.999","1.158","174.732","5.72","2.102"
"","[M](U)","        TWITTASCOPE.COM","Lifestyles","62.254","0.028","100","100","100","6.027","0.298","0.247","182.086","1.638","2.925"
"","[M]","        NUMEROLOGY.COM","Lifestyles","18.787","0.008","100","100","","","","","","",""
"","[M]","        ADOPTING.ORG","Family & Youth - Family & Parenting, Family & Youth","8.595","0.004","100","100","","","","","","",""
"","[M]","        KIDGLUE.COM","Social Media - Blogs, Social Media","1.519","0.001","100","100","","","","","","",""
"78","[P]","    JPMorgan Chase Property","Business/Finance - Banking, Business/Finance","19768.149","8.806","100","100","100","2789.769","510.467","1185.279","101514.77","5.028","5.135"
"","[M]","        JPMorgan Chase Bank","Business/Finance - Banking, Business/Finance","19374.982","8.631","100","100","100","2743.968","473.461","1146.07","99590.154","4.754","5.14"
"","[C]","            CHASE.COM","Business/Finance - Banking, Business/Finance","19341.876","8.616","100","100","100","2738.143","471.141","1142.579","99170.269","4.751","5.127"
"","[C]","            CHASEBONUS.COM","Business/Finance","193.813","0.086","100","100","100","7.029","0.258","0.314","210.884","1.224","1.088"
"","[C]","            CHASEPAYMENTECH.COM","Business/Finance","98.108","0.044","100","100","100","4.062","0.245","0.299","125.166","1.955","1.276"
"","[C]","            PAYMENTECH.COM","Services","59.285","0.026","100","100","","","","","","",""
"","[C]","            CHASEPAYEEDIRECTORY.COM","Business/Finance - Banking, Business/Finance","12.583","0.006","100","100","","","","","","",""
"","[C]","            MYCHASECREDITCARDS.COM","Promotional Servers","9.727","0.004","100","100","","","","","","",""
"","[C]","            CHASEB2B.COM","Business/Finance","6.414","0.003","100","100","","","","","","",""
"","[C]","            CHASECLEARANDSIMPLE.COM","Business/Finance","5.264","0.002","100","100","","","","","","",""
"","[C]","            CHASEREWARDS.COM","Business/Finance - Personal Finance, Business/Finance","2.549","0.001","100","100","","","","","","",""
"","[C]","            CHASECREDITCARDS.COM","Business/Finance - Personal Finance, Business/Finance","0.354","0","100","100","","","","","","",""
"","[M]","        JP Morgan","Business/Finance","771.086","0.343","100","100","100","58.036","36.647","38.753","2162.605","16.946","2.805"
"","[C]","            JPMORGAN.COM","Corporate Presence","436.755","0.195","100","100","100","31.065","22.874","20.333","1174.379","19.478","2.689"
"","[C]","            JPMORGANCHASE.COM","Corporate Presence","241.741","0.108","100","100","100","12.629","3.624","4.596","434.305","8.344","1.797"
"","[C]","            PAYMENTNET.COM","Services","101.838","0.045","100","100","","","","","","",""
"","[M]","        FIRSTUSA.COM","Business/Finance, Business/Finance - Personal Finance","268.166","0.119","100","100","100","10.046","0.35","0.451","313.089","1.117","1.168"
"","[M]","        Washington Mutual","Business/Finance, Business/Finance - Banking","1.499","0.001","100","100","","","","","","",""
"","[C]","            WAMU.COM","Business/Finance, Business/Finance - Banking","1.499","0.001","100","100","","","","","","",""
"79","[P]","    EA Websites","Games, Games - Online Gaming","19579.791","8.722","100","100","100","3098.865","1196.69","722.689","92363.361","12.956","4.717"
"","[M]","        Origin","Games","6414.441","2.857","100","100","100","1610.623","8.764","17.196","3456.438","2.536","0.539"
"","[C]","            Origin (App)","Games - Online Gaming, Games","5471.743","2.438","100","100","","1548.97","0","0","","",""
"","[C]","            ORIGIN.COM","Corporate Presence","1787.804","0.796","100","100","100","95.221","8.764","17.196","3456.438","2.536","1.933"
"","[M]","        POGO.COM*","Games - Online Gaming, Games","3575.071","1.593","100","100","100","483.491","826.908","443.349","32679.799","25.303","9.141"
"","[C]","            Poppit On Pogo","Games","494.194","0.22","100","100","100","61.782","2.063","3.769","2742.147","0.752","5.549"
"","[C]","            Scrabble On Pogo","Games - Online Gaming, Games","266.571","0.119","100","100","100","29.72","1.252","2.773","1386.177","0.903","5.2"
"","[C]","            Poppit On Chrome","Games","41.019","0.018","100","100","","","","","","",""
"","[M]","        EA Battlefield","Games - Gaming Information, Games","3300.393","1.47","100","100","100","312.613","78.279","51.934","16245.26","4.819","4.922"
"","[C]","            BATTLEFIELD.COM","Games - Gaming Information, Games","3090.797","1.377","100","100","100","287.705","71.069","41.839","14982.83","4.743","4.848"
"","[S]","                Battlelog Battlefield","Games - Online Gaming, Games","1403.693","0.625","100","100","100","212.017","67.009","35.264","12584.348","5.325","8.965"
"","[C]","            BATTLEFIELDHEROES.COM","Games - Gaming Information, Games","234.416","0.104","100","100","100","25.305","7.209","10.094","1271.485","5.67","5.424"
"","[M]","        SWTOR.COM","Games - Gaming Information, Games","3063.469","1.365","100","100","100","167.952","11.569","16.413","5819.084","1.988","1.9"
"","[M]","        EA.COM*","Games","3027.827","1.349","100","100","100","167.539","65.061","36.361","6099.181","10.667","2.014"
"","[M]","        The Sims","Games - Online Gaming, Games","1849.805","0.824","100","100","100","164.836","44.862","75.565","6607.78","6.789","3.572"
"","[C]","            The Sims 3","Games, Games - Online Gaming","1448.229","0.645","100","100","100","144.962","41.146","72.745","5953.55","6.911","4.111"
"","[S]","                THESIMS3.COM","Games, Games - Gaming Information","1448.229","0.645","100","100","100","144.962","41.146","72.745","5953.55","6.911","4.111"
"","[C]","            THESIMS.COM","Games - Gaming Information, Games","795.507","0.354","100","100","100","34.177","3.715","2.817","1137.372","3.266","1.43"
"","[M]","        PopCap Games","Games, Games - Online Gaming","1577.139","0.703","100","100","100","183.904","11.71","5.676","1914.899","6.115","1.214"
"","[C]","            PopCap Desktop Games","Games, Games - Online Gaming","878.85","0.392","100","100","","138.427","0","0","","",""
"","[S]","                Plants Vs Zombies (App)","Games - Online Gaming, Games","295.666","0.132","100","100","","36.022","0","0","","",""
"","[S]","                Bejeweled Desktop Games","Games, Games - Online Gaming","236.859","0.106","100","100","","44.971","0","0","","",""
"","[G]","                    Bejeweled 3 (App)","Games, Games - Online Gaming","186.223","0.083","100","100","","36.309","0","0","","",""
"","[G]","                    Bejeweled Twist (App)","Games - Online Gaming, Games","18.011","0.008","100","100","","","","","","",""
"","[G]","                    Bejeweled Blitz (App)","Games, Games - Online Gaming","4.166","0.002","100","100","","","","","","",""
"","[S]","                Bookworm Adventures","Games, Games - Online Gaming","101.185","0.045","100","100","","18.682","0","0","","",""
"","[S]","                Mystery PI","Games, Games - Online Gaming","61.482","0.027","100","100","","8.386","0","0","","",""
"","[G]","                    Mystery PI New England (App)","Games, Games - Online Gaming","30.457","0.014","100","100","","","","","","",""
"","[S]","                Zuma Desktop Games","Games, Games - Online Gaming","61.019","0.027","100","100","","5.528","0","0","","",""
"","[G]","                    Zumas Revenge (App)","Games - Online Gaming, Games","40.168","0.018","100","100","","","","","","",""
"","[S]","                Escape Desktop Games","Games - Online Gaming, Games","57.205","0.025","100","100","","3.922","0","0","","",""
"","[G]","                    Escape Whisper Valley (App)","Games, Games - Online Gaming","35.105","0.016","100","100","","","","","","",""
"","[S]","                Vacation Quest","Games, Games - Online Gaming","55.366","0.025","100","100","","8.014","0","0","","",""
"","[G]","                    Vacation Quest (App)","Games - Online Gaming, Games","41.806","0.019","100","100","","","","","","",""
"","[G]","                    Vacation Quest Australia (App)","Games, Games - Online Gaming","31.332","0.014","100","100","","","","","","",""
"","[S]","                Amazing Adventures","Games - Online Gaming, Games","38.753","0.017","100","100","","","","","","",""
"","[S]","                Peggle Desktop Games","Games, Games - Online Gaming","27.311","0.012","100","100","","2.402","0","0","","",""
"","[C]","            POPCAP.COM","Games - Online Gaming, Games","836.967","0.373","100","100","100","46.958","11.513","5.002","1741.491","6.611","2.081"
"","[C]","            PopCap (Web Based Games)","Games - Online Gaming, Games","99.099","0.044","100","100","100","7.181","0.197","0.674","303.233","0.651","3.06"
"","[S]","                Bejeweled (Web Based Games)","Games - Online Gaming, Games","91.363","0.041","100","100","100","6.615","0.176","0.646","280.209","0.629","3.067"
"","[S]","                Plants Vs Zombies (Web Based Games)","Games, Games - Online Gaming","9.799","0.004","100","100","","","","","","",""
"","[M]","        EA Sports","Games, Games - Gaming Information","1216.115","0.542","100","100","100","97.655","19.042","15.226","4502.793","4.229","3.703"
"","[C]","            EASPORTS.COM*","Games","1213.08","0.54","100","100","100","97.498","18.992","15.12","4496.623","4.224","3.707"
"","[S]","                EA SPORTS FIFA","Games - Gaming Information, Games","340.499","0.152","100","100","100","32.572","1.583","2.884","1295.539","1.222","3.805"
"","[S]","                EA SPORTS NHL","Games - Gaming Information, Games","38.536","0.017","100","100","100","1.815","0.07","0.084","60.24","1.16","1.563"
"","[C]","            EA Sportsworld Sites","Games - Online Gaming, Games","6.198","0.003","100","100","","","","","","",""
"","[S]","                EAFOOTBALLWORLD.COM","Games, Games - Online Gaming","4.285","0.002","100","100","","","","","","",""
"","[S]","                EASPORTSWORLD.COM","Games - Gaming Information, Games","2.404","0.001","100","100","","","","","","",""
"","[C]","            EA Sports Big","Games, Games - Gaming Information","0.708","0","100","100","","","","","","",""
"","[C]","            Tiger Woods Online","Games, Games - Gaming Information","0.383","0","100","100","","","","","","",""
"","[M]","        EA Need For Speed","Games, Games - Gaming Information","863.292","0.385","100","100","100","79.571","47.508","9.066","3598.33","13.203","4.168"
