"","","","Category","Total Unique Visitors (000)","% Reach","% Composition Unique Visitors","Composition Index UV","Composition Index PV","Average Daily Visitors (000)","Total Minutes (MM)","Total Pages Viewed (MM)","Total Visits (000)","Average Minutes per Visit","Average Visits per Visitor"
"","[S]","                Yahoo Brazil Answers","Directories/Resources - Reference, Directories/Resources","54.656","0.024","100","100","","","","","","",""
"","[S]","                Yahoo Vietnam Answers","Directories/Resources, Directories/Resources - Reference","35.637","0.016","100","100","","","","","","",""
"","[S]","                Yahoo Italy Answers","Directories/Resources - Reference, Directories/Resources","29.244","0.013","100","100","","","","","","",""
"","[S]","                Yahoo France Answers","Directories/Resources - Reference, Directories/Resources","5.225","0.002","100","100","","","","","","",""
"","[S]","                Yahoo Germany Answers","Directories/Resources - Reference, Directories/Resources","1.699","0.001","100","100","","","","","","",""
"","[S]","                YANSWERSBLOG.COM","Social Media - Blogs, Social Media","0.589","0","100","100","","","","","","",""
"","[S]","                Yahoo Indonesia Answers","Directories/Resources - Reference, Directories/Resources","0.203","0","100","100","","","","","","",""
"","[C](U)","            Yahoo Sports-NBC Sports Network","Sports","45070.876","20.078","100","100","100","7471.186","2026.872","2815.693","358260.916","5.658","7.949"
"","[S](U)","                Yahoo U.S. Sports","Sports","33336.654","14.851","100","100","100","5179.494","1252.401","2185.096","240776.313","5.202","7.223"
"","[S](u)","                NBC Sports","Sports","12972.588","5.779","100","100","100","2257.465","552.403","411.407","113088.918","4.885","8.718"
"","[G](U)","                    NBCSPORTS.COM","Sports","7762.41","3.458","100","100","100","683.404","76.588","64.85","28061.013","2.729","3.615"
"","[G](U)","                    ROTOWORLD.COM","Sports","1636.502","0.729","100","100","100","294.494","202.922","76.9","13905.353","14.593","8.497"
"","[G](U)","                    GolfChannel","Sports","1100.81","0.49","100","100","100","703.485","184.741","188.186","43581.165","4.239","39.59"
"","[SG](U)","                        GOLFNOW.COM","Sports","488.78","0.218","100","100","100","43.865","12.062","14.782","1899.854","6.349","3.887"
"","[SG](U)","                        WGT.COM*","Games, Games - Online Gaming","309.84","0.138","100","100","100","570.016","160.738","164.534","42467.653","3.785","137.063"
"","[SG](u)","                        GOLFCHANNEL.COM","Sports","296.25","0.132","100","100","100","51.771","9.509","8.037","1845.139","5.153","6.228"
"","[SG]","                        WORLDGOLF.COM","Sports","35.947","0.016","100","100","","","","","","",""
"","[G]","                    FANSEDGE.COM","Retail, Retail - Sports/Outdoor","935.553","0.417","100","100","100","43.342","5.521","10.954","1375.59","4.014","1.47"
